Control ID,Pillar,Safeguard Title,Microsoft Tool Recommendation,Generic Tooling Category,Lifecycle Trigger,IG
PRC-IG3-02,Process Mapping,Workflow quality scorecard,Power BI,QA / analytics,QBR,IG3
DAT-IG1-01,Data Security & Tagging,Approved data-in-scope register,SharePoint list; Purview data map references,Data inventory / repository register,Onboarding,IG1
DAT-IG1-02,Data Security & Tagging,Classification taxonomy,Microsoft Purview Information Protection,Data classification / information governance,Onboarding,IG1
DAT-IG1-03,Data Security & Tagging,Permissions and sharing cleanup,SharePoint admin tools; Entra groups,Access governance / file permissions review,Onboarding,IG1
DAT-IG1-04,Data Security & Tagging,Repository hygiene baseline,SharePoint / OneDrive administration,Records management / content lifecycle,Onboarding,IG1
DAT-IG2-01,Data Security & Tagging,Labeling deployment,Microsoft Purview sensitivity labels,Data labeling / classification enforcement,Project,IG2
DAT-IG2-02,Data Security & Tagging,DLP and exfiltration controls,Microsoft Purview DLP / Defender for Cloud Apps,DLP / CASB / email and web controls,Project,IG2
DAT-IG2-03,Data Security & Tagging,External sharing review,SharePoint / Teams admin centers,External sharing governance,QBR,IG2
DAT-IG2-04,Data Security & Tagging,Retention alignment for AI records,Purview retention policies,Records management / retention tooling,Project,IG2
DAT-IG3-01,Data Security & Tagging,Regulated data access model,Purview advanced labeling / DLP / access policies,Sensitive data governance / DSPM / data access controls,Project,IG3
DAT-IG3-02,Data Security & Tagging,Continuous oversharing monitoring,Purview DSPM for AI / SharePoint governance signals,DSPM / data access governance,QBR,IG3
OBS-IG1-01,AI Observability,Adoption baseline,Microsoft 365 usage reports / Viva Insights where applicable,Usage analytics,Onboarding,IG1
OBS-IG1-02,AI Observability,Shadow AI discovery baseline,Defender for Cloud Apps / Defender for Endpoint visibility,CASB / endpoint discovery / DNS reporting,Onboarding,IG1
OBS-IG1-03,AI Observability,Audit evidence path,Purview Audit / Entra logs,Audit / SIEM,Onboarding,IG1
OBS-IG1-04,AI Observability,Output quality sampling starter,Excel / Power BI / Forms,QA / sampling workflow,Onboarding,IG1
OBS-IG2-01,AI Observability,Risky-pattern alerting,Microsoft Sentinel / Defender / Purview alerts,SIEM / XDR / alerting,Security Incident,IG2
OBS-IG2-02,AI Observability,Cost and value scorecard,Power BI + M365 reports,BI / FinOps / service reporting,QBR,IG2
OBS-IG2-03,AI Observability,Model/agent inventory,Copilot Studio / M365 admin references / SharePoint register,Configuration inventory,Project,IG2
OBS-IG2-04,AI Observability,Configuration drift review,Defender / Entra / Purview / admin center exports,Configuration management / compliance monitoring,QBR,IG2
OBS-IG3-01,AI Observability,Cross-tool correlation,Microsoft Sentinel / Defender / Purview,SIEM / XDR / UEBA,Security Incident,IG3
OBS-IG3-02,AI Observability,Automated anomaly detection,Sentinel analytics / Power BI anomaly views,Behavior analytics / UEBA,QBR,IG3
DEP-IG1-01,AI Tooling & Deployment,Named pilot with training,Entra groups; Viva Learning / Microsoft 365 training resources,LMS / identity groups,Onboarding,IG1
DEP-IG1-02,AI Tooling & Deployment,Deployment rings,Entra groups; M365 admin licensing,Release / cohort management,Project,IG1
DEP-IG1-03,AI Tooling & Deployment,Role-based user training path,Viva Learning / SharePoint,LMS / enablement platform,Employee Onboarding,IG1
DEP-IG1-04,AI Tooling & Deployment,Support runbook,Teams + SharePoint + ticketing integrations,ITSM / support knowledge base,Onboarding,IG1
DEP-IG2-01,AI Tooling & Deployment,Connector approval path,Copilot Studio / Power Platform admin / M365 admin controls,Integration governance,Project,IG2
DEP-IG2-02,AI Tooling & Deployment,Dev/test/prod promotion path,Copilot Studio / Power Platform environments,SDLC / release management,Project,IG2
DEP-IG2-03,AI Tooling & Deployment,Role-based expansion gate,Entra groups; Viva Learning; SharePoint checklist,Cohort readiness / LMS,Employee Onboarding,IG2
DEP-IG2-04,AI Tooling & Deployment,Rollback rehearsal,Entra / M365 admin center,Release management / DR rehearsal,Project,IG2
DEP-IG3-01,AI Tooling & Deployment,Agent lifecycle register,Copilot Studio / SharePoint register,Application lifecycle management,Project,IG3
DEP-IG3-02,AI Tooling & Deployment,Employee offboarding AI access removal,Entra ID; M365 admin center; Copilot Studio access review,IAM / offboarding workflow,Employee Offboarding,IG3
