Control ID,Pillar,IG,Safeguard Title,Lifecycle Trigger,Cadence,Status,Owner,Due Date,Microsoft Tool Recommendation,Generic Tooling Category,Evidence Link / Notes,Priority
OBS-IG2-01,AI Observability,IG2,Risky-pattern alerting,Security Incident,Continuous review with monthly tuning,Not Started,Security operations,,Microsoft Sentinel / Defender / Purview alerts,SIEM / XDR / alerting,,High
OBS-IG2-02,AI Observability,IG2,Cost and value scorecard,QBR,Quarterly,Not Started,Sponsor + IT lead,,Power BI + M365 reports,BI / FinOps / service reporting,,High
OBS-IG2-03,AI Observability,IG2,Model/agent inventory,Project,Monthly,Not Started,Platform owner,,Copilot Studio / M365 admin references / SharePoint register,Configuration inventory,,High
OBS-IG2-04,AI Observability,IG2,Configuration drift review,QBR,Monthly or quarterly,Not Started,Security/admin lead,,Defender / Entra / Purview / admin center exports,Configuration management / compliance monitoring,,High
OBS-IG3-01,AI Observability,IG3,Cross-tool correlation,Security Incident,Continuous with quarterly review,Not Started,Security operations,,Microsoft Sentinel / Defender / Purview,SIEM / XDR / UEBA,,Medium
OBS-IG3-02,AI Observability,IG3,Automated anomaly detection,QBR,Quarterly tuning,Not Started,Security/data analytics lead,,Sentinel analytics / Power BI anomaly views,Behavior analytics / UEBA,,Medium
DEP-IG1-01,AI Tooling & Deployment,IG1,Named pilot with training,Onboarding,Per rollout wave,Not Started,Project lead + department manager,,Entra groups; Viva Learning / Microsoft 365 training resources,LMS / identity groups,,Critical
DEP-IG1-02,AI Tooling & Deployment,IG1,Deployment rings,Project,Per rollout wave,Not Started,IT lead,,Entra groups; M365 admin licensing,Release / cohort management,,Critical
DEP-IG1-03,AI Tooling & Deployment,IG1,Role-based user training path,Employee Onboarding,"At launch for existing staff, then per new employee and annual refresh",Not Started,Department manager + enablement lead,,Viva Learning / SharePoint,LMS / enablement platform,,Critical
DEP-IG1-04,AI Tooling & Deployment,IG1,Support runbook,Onboarding,Quarterly refresh,Not Started,Service owner,,Teams + SharePoint + ticketing integrations,ITSM / support knowledge base,,Critical
DEP-IG2-01,AI Tooling & Deployment,IG2,Connector approval path,Project,Per connector or action,Not Started,Platform owner + data owner,,Copilot Studio / Power Platform admin / M365 admin controls,Integration governance,,High
DEP-IG2-02,AI Tooling & Deployment,IG2,Dev/test/prod promotion path,Project,Per release,Not Started,Platform owner,,Copilot Studio / Power Platform environments,SDLC / release management,,High
DEP-IG2-03,AI Tooling & Deployment,IG2,Role-based expansion gate,Employee Onboarding,Per new cohort,Not Started,Department manager + IT lead,,Entra groups; Viva Learning; SharePoint checklist,Cohort readiness / LMS,,High
DEP-IG2-04,AI Tooling & Deployment,IG2,Rollback rehearsal,Project,Before major expansion and annual refresh,Not Started,IT lead,,Entra / M365 admin center,Release management / DR rehearsal,,High
DEP-IG3-01,AI Tooling & Deployment,IG3,Agent lifecycle register,Project,Monthly review,Not Started,Platform owner,,Copilot Studio / SharePoint register,Application lifecycle management,,Medium
DEP-IG3-02,AI Tooling & Deployment,IG3,Employee offboarding AI access removal,Employee Offboarding,Per departing employee or role change,Not Started,Identity admin + manager,,Entra ID; M365 admin center; Copilot Studio access review,IAM / offboarding workflow,,Medium
