UID,Implementation Guard,Control ID,Content Area,Safeguard Title,Customer Objective,Detailed Requirement,Lifecycle Trigger,Cadence,Primary Stakeholder,Evidence of Completion,Minimum Status to Pass,Minimum Evidence to Pass,Fail Condition,Why it Matters,Who Cares Most (Customer),First Required When
12,IG1,STR-IG1-01,Strategy & Buy-In,Launch communication plan,Set user expectations before AI is introduced.,"Publish a customer-facing communication covering what is enabled, what is not, where to get help, and what success looks like.",Onboarding,Per rollout wave,Communications lead + sponsor,Published launch notice and FAQ path.,Implemented,Documented,Users are enabled without written expectations or support guidance.,Adoption quality depends on expectation setting.,Executive Team | Department Leaders | IT Lead,GenAI
14,IG1,GOV-IG1-01,Policy & Governance,Approved AI tools inventory,Give employees a clean list of what is allowed.,"Maintain an approved tools inventory covering copilots, assistants, browser tools, embedded AI, automations, and agent platforms.",Onboarding,Monthly review,IT/security lead,"Approved tools register with owner, purpose, and approval date.",Implemented,Documented,Employees are expected to use AI safely without an approved list of options.,"Start with what is allowed, not just what is blocked.",Risk Buyer: CISO | Technical Owner: CIO,GenAI
15,IG1,DAT-IG1-03,Data Security & Tagging,Prohibited data list,Reduce accidental exposure of sensitive content in AI tools.,"Document which classes of data may not be pasted, uploaded, summarized, or acted on in AI tools without exception.",Onboarding,Annual review and upon regulatory change,Compliance lead,Published prohibited-data list with real examples.,Implemented,Documented,Users cannot clearly tell what data is out-of-bounds for AI.,"Employees need concrete examples, not only abstract labels.",Risk Buyer: CISO/Legal | Policy Owner: Compliance,GenAI
16,IG2,SKL-IG2-03,People & Skills,Output validation standard,Require users to verify important AI output.,"Define when employees must fact-check, cite, peer review, manager review, or refuse to use AI-generated content.",Onboarding,Quarterly refresh,Department manager + compliance lead,Published validation standard with role-based examples.,Implemented,Documented,Customer-facing or sensitive output may be used with no validation requirement.,Human review is still the core control for unreliable output.,Risk Buyer: CISO/Legal | Policy Owner: Compliance,GenAI
17,IG1,PRC-IG1-01,Process Mapping,Top workflow inventory,Identify where AI will be used in real work.,"Document the top workflows where AI will be applied, including owner, frequency, data sensitivity, and expected AI role.",Onboarding,Quarterly refresh,Department owner + analyst,Workflow inventory with owner and AI role.,Implemented,Documented,AI is enabled without identifying where it will actually be used.,You cannot govern what you have not mapped.,Operational Buyer: COO | Department Owner,GenAI
20,IG1,PRC-IG1-03,Process Mapping,Prompt Governance Standard,"Establish safe, effective, and consistent prompting practices across the organization.","Publish a prompt governance standard covering: (1) an approved starter library of role-specific prompts, (2) prompt engineering guidelines for power users, (3) prompt injection risk awareness and prohibited patterns, (4) a review process for adding prompts to the approved library. Update the library when new AI capabilities are deployed.",Onboarding,Quarterly refresh,Department owner + enablement lead,Published prompt library with usage guidance.,Implemented,Documented,Users are expected to craft effective prompts without examples or guidance.,"Ungoverned prompting leads to inconsistent outputs, data leakage risk, and prompt injection vulnerabilities. A standard drives quality and reduces misuse.",Operational Buyer: COO | Department Owner,GenAI
21,IG1,PRC-IG1-04,Process Mapping,Human in the Loop Definitions,Clarify where AI can act independently and where it cannot.,"Document which workflows allow AI to act autonomously, which require human approval, and which prohibit AI action entirely.",Project,At initial rollout and before any automated workflow is enabled,Executive sponsor + process owner,Autonomy matrix with owner and review date.,Implemented,Validated,AI autonomy boundaries are undefined or inconsistently applied.,This becomes critical before agentic AI deployment.,Process Owner | Compliance | COO,GenAI
22,IG1,REG-IG1-01,Security,AI Risk Classification,Classify every AI use case by risk tier before deployment.,"Determine whether each active AI use case qualifies as minimal, limited, high, or unacceptable risk per EU AI Act taxonomy and applicable sector guidance. Document classification rationale, assigned tier, and review path. High-risk classifications trigger additional human oversight and documentation requirements.",Onboarding,At initial rollout and when any new use case is added,Compliance lead + legal,"Risk classification log with tier, use case, rationale, reviewer, and review date.",Implemented,Documented,AI use cases deployed without a documented risk tier classification.,"Risk tier determines what controls, disclosures, and human oversight are legally required. Skipping this step creates blind liability.",Compliance / Legal / Risk Officer,GenAI
23,IG1,SKL-IG1-01,People & Skills,Executive sponsor assigned,Create accountable business ownership for AI in this customer environment.,"Name a customer-side executive sponsor who approves target populations, intended use cases, budget, and rollout decisions.",Onboarding,At initial rollout and annual renewal,Executive sponsor,Signed charter or decision log naming sponsor and delegate.,Implemented,Documented,No named sponsor with authority to approve rollout scope.,"AI programs drift quickly when no one can resolve tradeoffs between speed, risk, and budget.",Economic Buyer: CEO/COO | Executive Sponsor: CIO,GenAI
24,IG1,STR-IG1-02,Strategy & Buy-In,Business outcomes by persona,Tie AI to specific work outcomes rather than vague productivity claims.,Define one to three outcomes for each pilot persona with baseline metrics and success targets.,Onboarding,Before pilot launch and before each department expansion,Business owner + analyst,"Outcome matrix with baseline, target, owner, and review date.",Implemented,Documented,Pilot begins without clear outcome targets by persona.,"This prevents ""turn it on and hope"" deployment.",Economic Buyer: CFO/CEO | Business Owner: COO,GenAI
25,IG1,TEC-IG1-01,Technical Readiness,Identity baseline for AI users,Reduce account compromise risk before AI access is granted.,"Confirm SSO, MFA, and basic identity hygiene for all in-scope users.",Onboarding,Before initial rollout and for each new user cohort,Identity admin,Identity readiness checklist and policy evidence.,Implemented,Validated,AI access is granted to users without MFA or equivalent identity controls.,AI often increases the blast radius of compromised accounts.,Technical Buyer: CIO/CISO | Identity Owner,GenAI
26,IG1,TEC-IG1-02,Technical Readiness,Supported endpoint baseline,"Ensure employees use supported devices, browsers, and apps for targeted AI tools.","Validate supported OS, browser, Office apps, extension posture, and update channels for the in-scope AI experience.",Onboarding,Per rollout wave,Endpoint admin,Readiness report or compliance export.,Implemented,Validated,Pilot starts on unsupported devices or app versions.,Bad endpoint state creates reliability and support problems fast.,Technical Buyer: CIO | IT/Endpoint Owner,GenAI
27,IG1,TEC-IG1-03,Technical Readiness,Rollback plan for AI enablement,Make sure access can be paused or reversed safely.,"Document how AI access, licenses, connectors, and user targeting will be rolled back if risk or instability emerges.",Project,Per rollout wave,IT lead,Documented rollback procedure and owner.,Implemented,Documented,The customer cannot quickly limit or reverse rollout.,Reversibility is a core readiness control.,IT Operations Owner | Platform Owner | CIO,GenAI
28,IG1,SKL-IG1-03,People & Skills,Admin ownership for AI configuration,Ensure the environment has named administrators for the relevant control plane.,"Identify who owns identity, endpoint, collaboration, data, security, and AI-specific configuration for the customer environment.",Onboarding,Annual review and staffing changes,IT director,Named admin ownership matrix.,Implemented,Documented,No one can clearly state who owns key AI-related settings.,Control gaps often arise at responsibility boundaries.,Technical Buyer: CIO/CISO | Identity Owner,GenAI
30,IG2,OBS-IG2-01,AI Observability,Audit evidence path,Ensure AI activity can be investigated when needed.,"Confirm that audit logs capture AI-related activity including queries, data access, admin changes, and agent actions.",Onboarding,Monthly review,Security admin,Audit coverage confirmation and sample investigation.,Implemented,Validated,AI activity cannot be investigated through audit logs.,Audit is the foundation for incident response and compliance.,CISO | Compliance | Security Operations,Custom GPTs
31,IG2,OBS-IG2-02,AI Observability,Output quality sampling starter,Catch AI quality problems early.,Implement a sampling process to review AI output quality for key workflows.,Onboarding,Monthly during pilot then quarterly,Department owner + QA lead,Sampling process and initial results.,Implemented,Documented,AI output quality is assumed rather than measured.,Quality problems compound silently without sampling.,Executive Team | CIO | Security Lead,Custom GPTs
32,IG2,CPL-IG2-01,Copilot Readiness,Pilot licensing and app scoping,Constrain Copilot rollout to a named pilot cohort with deliberate access boundaries.,"Use group-based license assignment and Integrated Apps scoping so Microsoft 365 Copilot is assigned only to a named pilot group. Align the tenant app scope to the same group and document the initial cohort size, owners, and access path.",Onboarding,Before first pilot launch and per rollout wave,IT lead + sponsor,"Named pilot group, license assignment evidence, and app scoping screenshot or export.",Implemented,Validated,Copilot licenses or app access are assigned broadly with no pilot group or scoped app boundary.,"Phased access is one of the most important early Copilot controls because it limits blast radius while the environment, data, and support model are still being proven.",Economic Buyer: CIO/COO | Technical Owner: Entra Admin,Cowork
33,IG1,CPL-IG1-01,Copilot Readiness,Self-service Copilot purchase and trial controls,Prevent unmanaged Copilot spend and access from self-service purchase paths.,Set Copilot self-service purchases to Do not allow and disable self-service trial options for Copilot. Document the approval path for any exception and confirm the tenant is not allowing unmanaged purchases.,Onboarding,Annual review and before expansion,IT finance + sponsor,Tenant setting screenshots showing self-service purchase disabled and trial option disabled.,Implemented,Validated,Users can purchase or start Copilot trials without IT approval.,"Self-service licensing creates surprise spend, inconsistent rollout, and weaker governance because users can bypass the intended approval path.",Economic Buyer: CFO/CEO | Business Owner: CIO,Cowork
34,IG1,CPL-IG1-03,Copilot Readiness,Web grounding policy decision,Define the tenant baseline for whether Copilot can use web grounding at launch.,"Configure the cloud policy for Allow web search in Copilot and document the approved baseline. If disabled at launch, record the rationale, scope, and criteria for later review; if enabled, document the business and data-handling rationale.",Onboarding,Quarterly review,Security lead + business owner,Policy export or screenshot and decision memo showing the approved grounding mode.,Implemented,Validated,Web grounding is left at default with no explicit tenant decision or documented rationale.,"Web grounding changes the data boundary, answer behavior, and user expectation model, so it should be an intentional tenant decision rather than a default left untouched.",Risk Buyer: CISO | Executive Sponsor: CIO,Cowork
35,IG2,CPL-IG2-02,Copilot Readiness,SharePoint grounding allow-list baseline,Limit SharePoint grounding to reviewed sites before broad knowledge access begins.,Enable Restricted SharePoint Search and maintain a minimal allowed-site list based on reviewed permissions. Record which sites are intentionally in scope for Copilot grounding and which remain excluded until access hygiene is validated.,Onboarding,Quarterly review and before expansion,SharePoint admin + data owner,"Restricted SharePoint Search enabled, approved site list, and review notes for included sites.",Implemented,Validated,Copilot can search broad SharePoint content with no approved allow-list or search scope decision.,"Copilot amplifies existing SharePoint permissions and search scope, so grounding should begin from validated sites rather than from the entire tenant by default.",Data Owner | CISO | SharePoint Owner,Cowork
36,IG2,CPL-IG2-03,Copilot Readiness,Teams Copilot meeting and transcript baseline,"Set the launch policy for Copilot in Teams meetings, calls, and transcript-backed recaps.","Define meeting policies for Copilot in Teams meetings and calls, including whether transcription is enabled, whether no-transcript Copilot is disabled, and what organizer/participant notice is required. Document the approved meeting policy set for the pilot cohort.",Onboarding,Per rollout wave,Teams admin + sponsor,"Meeting policy export, transcript setting evidence, and pilot policy assignment.",Implemented,Validated,Meeting Copilot or transcription is enabled without an explicit policy decision for the pilot group.,"Meeting Copilot changes privacy expectations, recap quality, and meeting policy behavior, especially when transcript decisions have not been made deliberately.",Executive Sponsor | Teams Owner | Compliance,Cowork
37,IG2,CPL-IG2-04,Copilot Readiness,Agent access baseline,"Set the baseline for who can access, install, and create Copilot agents.","Configure who can access and install agents, restrict third-party agents from the store at baseline, and scope custom or org-built agents to approved groups or use cases. Record the approved baseline for agent access sources and user populations.",Onboarding,Quarterly review,Platform owner + security approver,"Agent access settings export, blocked third-party store posture, and scoped access group list.",Implemented,Validated,"Agents are broadly accessible, third-party store agents are allowed, or no approved source policy exists.","Agent access expands the capability and data boundary of Copilot quickly, so a baseline source and audience model is required before agent usage spreads.",Platform Owner | CISO | CIO,Custom GPTs
38,IG1,CPL-IG1-04,Copilot Readiness,Managed device and browser Copilot containment,Align managed-device and browser Copilot behavior to the enterprise rollout policy.,"Configure Edge and Windows controls for Copilot on managed devices, including whether the Copilot button is shown, whether page content access is allowed, and whether consumer Copilot app installation is blocked or removed. Document the managed-device baseline for Copilot access surfaces.",Onboarding,Quarterly review,Endpoint admin + security lead,"Policy export for Edge page-content setting, Windows/Intune consumer app restriction, and device scope evidence.",Implemented,Validated,Managed devices allow consumer Copilot installation or broad page-content access with no approved baseline.,Consumer Copilot surfaces and permissive browser context settings can undermine enterprise controls by creating unmanaged access paths on corporate devices.,Technical Buyer: CIO/CISO | Endpoint Owner,Cowork
39,IG1,DAT-IG1-02,Data Security & Tagging,Approved data-in-scope register,Know what data AI can see and act on.,"Document which data repositories, document libraries, mailboxes, and sites are in scope for AI tools.",Onboarding,Quarterly review,Data owner + IT,Data scope register with owner and classification.,Implemented,Documented,AI has access to data without a defined scope or owner.,Data scope is the foundation of data security for AI.,Data Owner | CISO | CIO,Cowork
40,IG1,DAT-IG1-01,Data Security & Tagging,Data Classification Labels,Label data so AI respects sensitivity boundaries.,Define and apply a classification taxonomy that AI tools can reference for access and handling decisions.,Onboarding,Annual review,Compliance lead + data owner,Published taxonomy and label application evidence.,Implemented,Documented,AI accesses data without classification or sensitivity context.,Classification is the language AI uses to understand data sensitivity.,Compliance/Privacy Lead | CISO,Cowork
41,IG1,DAT-IG1-04,Data Security & Tagging,Permissions and sharing cleanup,Reduce oversharing before AI amplifies it.,Review and remediate overshared permissions in repositories that AI will access.,Onboarding,Quarterly for priority repositories,Repository owner + IT,Remediation report and before/after evidence.,Implemented,Validated,AI surfaces content through overshared permissions that users do not realize exist.,Oversharing is the number one data risk in AI enablement.,CISO | Collaboration Owner | CIO,Cowork
42,IG2,DAT-IG2-01,Data Security & Tagging,Out-of-date Content Cleanup,Clean up stale and redundant content before AI indexes it.,"Review repositories for stale, duplicate, or irrelevant content that could degrade AI quality or expose risk.",Onboarding,Semiannual review,Repository owner,Hygiene review report and remediation actions.,Implemented,Documented,AI indexes large volumes of stale or irrelevant content.,"Garbage in, garbage out applies directly to AI.",Knowledge Owner ,Cowork
43,IG3,DAT-IG3-02,Data Security & Tagging,Data owner accountability,Ensure someone is responsible for each data scope.,Assign named data owners for repositories and data classes that AI will access.,Onboarding,Annual review,Data owner + IT,Data ownership register with named owners.,Implemented,Documented,AI accesses data with no accountable owner.,Ownership is the prerequisite for access decisions.,Data Owner | CISO | CIO,Cowork
44,IG3,OBS-IG3-01,AI Observability,Risky-pattern alerting,Detect potentially harmful AI usage patterns.,"Configure alerts for risky AI usage patterns including sensitive data queries, unusual volume, and policy violations.",Security Incident,Continuous review with monthly tuning,Security operations,Alert configuration and tuning evidence.,Implemented,Validated,Risky AI usage patterns go undetected.,Detection is the bridge between policy and enforcement.,CISO | Security Operations | CIO,GenAI
45,IG3,OBS-IG3-02,AI Observability,Cost and value scorecard,Track whether AI investment is delivering returns.,"Create a scorecard tracking AI costs, adoption, and business value metrics.",QBR,Quarterly,Sponsor + IT lead,Cost and value scorecard with trend data.,Implemented,Validated,AI spend continues without value measurement.,Cost accountability prevents shelfware and ensures ROI.,CFO/CEO | CIO | Executive Sponsor,GenAI
46,IG3,OBS-IG3-03,AI Observability,Configuration drift review,Detect when AI configurations change unexpectedly.,Review AI-related configurations periodically to detect drift from approved baselines.,QBR,Monthly or quarterly,Security/admin lead,Drift review report and remediation actions.,Implemented,Validated,AI configurations drift without detection or review.,Drift is a common source of security and compliance gaps.,Platform Owner | CIO | CISO,GenAI
47,IG3,OBS-IG3-04,AI Observability,User feedback capture loop,Learn from user experience to improve AI deployment.,"Implement a structured feedback mechanism for AI users to report issues, suggestions, and quality concerns.",QBR,Quarterly,Enablement lead + sponsor,Feedback mechanism and summary report.,Implemented,Documented,User experience data is not captured or acted on.,Feedback loops improve adoption and catch problems early.,Executive Sponsor | CIO | Enablement Owner,GenAI
48,IG3,PRC-IG3-01,AI Observability,AI incident response playbook,Respond effectively when AI causes harm or unexpected behavior.,"Create an incident response playbook covering AI-specific scenarios including harmful output, data exposure, and automation failure.",Security Incident,Quarterly tabletop and annual review,Security lead + department owner,"Playbook with scenarios, owners, and tabletop evidence.",Implemented,Validated,AI incidents are handled ad hoc without a defined response process.,AI incidents are different from traditional IT incidents.,Operations Lead | IT Lead | Department Owner,GenAI
49,IG3,DEP-IG3-01,AI Tooling & Deployment,Connector approval path,Control what AI connects to.,"Require documented approval before enabling AI connectors, actions, or data source integrations.",Project,Per connector / action,Platform owner + data owner,Connector approval records with data scope.,Implemented,Validated,AI connectors are enabled without data scope or security review.,Connectors extend the data boundary of AI tools.,Platform Owner | CIO | CISO,Cowork
50,IG3,DEP-IG3-02,AI Tooling & Deployment,Rollback rehearsal,Confirm rollback works before it is needed.,Conduct periodic rollback rehearsals to verify AI access can be quickly limited or reversed.,Project,Before major expansion and annual refresh,IT lead,Rehearsal evidence and lessons learned.,Implemented,Validated,Rollback procedures exist on paper but have never been tested.,Untested rollback is unreliable rollback.,IT Operations | HR | CIO,GenAI
51,IG2,DEP-IG2-01,AI Tooling & Deployment,Release notes and user change communication,Keep users informed when AI capabilities change.,"Publish release notes or change communications when AI features, workflows, or policies change.",Project,Per release,Communications lead,Published release notes or change notice.,Implemented,Documented,AI capabilities change without user notification.,Change communication reduces confusion and support volume.,Enablement Owner | CIO | Department Manager,GenAI
52,IG3,CPL-IG3-01,Copilot Readiness,Pages and Notebooks governance,"Govern how Copilot Pages and Notebooks are created, stored, and shared as adoption expands.","Define the approved baseline for Create and view Copilot Pages and Create and view Copilot Notebooks, including who can create them, where they are stored, and how sharing is reviewed. Align this to SharePoint sharing standards for the rollout cohort.",Project,Quarterly review,SharePoint owner + enablement lead,"Policy evidence for Pages/Notebooks, storage and sharing guidance, and review checklist.",Implemented,Documented,Users can create and share Copilot Pages or Notebooks broadly with no content-governance standard.,"Pages and Notebooks turn chat output into shareable content stored in Microsoft 365, so they need the same sharing and content-governance discipline as other collaboration assets.",Knowledge Owner | CIO | Compliance,Cowork
53,IG3,CPL-IG3-02,Copilot Readiness,Sensitive site exclusion and access review,Exclude or harden sensitive SharePoint sites before expanding Copilot grounding.,"Use Restricted Content Discovery, Restricted Access Control, and on-demand Site Access Review for sensitive or high-risk sites. Document which sites are excluded from Copilot and which sites require formal access attestation before being added to the grounding scope.",Project,Quarterly review,SharePoint admin + data owner,"List of excluded sites, site-level controls enabled where needed, and access review evidence.",Implemented,Validated,Sensitive sites remain discoverable by Copilot with no exclusion or access-attestation workflow.,"Not every site is equally ready for Copilot grounding, and site-level controls are often the safest way to expand search while containing sensitive content.",Data Owner | CISO | SharePoint Owner,Cowork
55,IG3,CPL-IG3-04,Copilot Readiness,Meeting experience optimization for Copilot,Intentionally enable Teams features that improve Copilot meeting quality for approved cohorts.,"For approved meeting cohorts, define whether live captions, custom dictionary, Teams calls Copilot, translated transcription, or intelligent speaker features are enabled. Document the approved feature bundle by meeting policy and any consent or room-device prerequisites.",Project,Quarterly review,Teams owner + enablement lead,"Meeting policy bundle, feature enablement evidence, and pilot feedback or quality review.",Implemented,Documented,Expanded meeting features are enabled ad hoc with no approved bundle or role-based policy model.,"Once meeting Copilot is approved, optional meeting features can improve transcript quality and recap usefulness, but only when they are bundled deliberately and supported.",Executive Sponsor | Teams Owner | Enablement Owner,Cowork
56,IG3,CPL-IG3-05,Copilot Readiness,Copilot analytics audience and privacy controls,Use Copilot analytics with a privacy-preserving access and audience model.,"Control access to the Copilot Dashboard, keep the minimum group size threshold at an approved privacy-preserving level, and document whether organizational data uploads to Viva Insights are in scope. Define who receives analytics and for what governance purpose.",QBR,Quarterly,Executive sponsor + people analytics owner,"Dashboard access list, minimum group size setting, and analytics use standard or charter.",Implemented,Documented,Copilot analytics are broadly visible or privacy thresholds are reduced without approved rationale.,"Copilot dashboards are useful for adoption governance, but access and privacy thresholds should be deliberate to avoid exposing more behavioral detail than needed.",Executive Sponsor | CIO | Privacy Lead,Cowork
57,IG3,CPL-IG3-06,Copilot Readiness,Client deployment and pinning orchestration,"Coordinate deployment, pinning, and app visibility changes by rollout cohort.","Define the approved rollout posture for app deployment and pinning, including Windows taskbar pinning, pinning Copilot Chat in Microsoft 365 apps, the M365 Copilot app deployment setting, and any tenant opt-out from automatic deployment if reintroduced. Document the user cohorts that receive each visibility change.",Project,Per rollout wave,Endpoint owner + enablement lead,Deployment and pinning settings export plus approved rollout wave matrix.,Implemented,Documented,Copilot visibility changes are left to default behavior with no approved user-cohort rollout design.,"Client visibility changes influence usage behavior, support demand, and user expectation, so they should follow readiness rather than happen by default.",Enablement Owner | CIO | Endpoint Owner,Cowork
58,IG2,DEP-IG2-02,AI Tooling & Deployment,Role-based expansion gate,Require readiness before expanding to new user groups.,Define and enforce readiness criteria before each new user cohort receives AI access.,Employee Onboarding,Per new cohort,Department manager + IT lead,Expansion gate checklist with approval.,Implemented,Validated,New user groups receive AI access without readiness assessment.,Expansion gates prevent scaling before readiness.,CIO | Department Owner | Project Sponsor,GenAI
59,IG2,SKL-IG2-02,People & Skills,Internal AI Certification Program,"Create a structured, verifiable internal competency recognition program.","Design and launch internal AI certification tiers � at minimum Practitioner (safe daily use) and Advanced (workflow design, agent use, output governance). Tie certifications to role progression, performance recognition, or expanded AI access. Recertify annually or when a major capability change is deployed.",Project,Launched at program maturity; renewed annually,IT lead + HR,"Certification framework, enrolled users, completion records, and renewal schedule.",Implemented,Documented,No mechanism exists to recognize or verify AI competency across the organization.,"Certification drives motivated learning, creates an internal talent signal, and gives leadership visibility into where competency actually sits.",HR / Department Leaders / Executive Sponsor,Cowork
60,IG3,SKL-IG3-01,People & Skills,AI Community of Practice,"Run a recurring internal forum for AI practitioners to share wins, issues, and patterns.","Establish a monthly or bi-monthly community of practice open to all AI users. Use a structured format: (1) use case spotlight from a department, (2) open issue triage, (3) roadmap preview from the program team. Capture outputs in a shared knowledge base accessible to all staff.",QBR,Monthly or bi-monthly recurring,AI program lead + champions,"Meeting calendar, attendance log, shared output repository with searchable entries.",Implemented,Validated,No internal forum exists for cross-team AI learning and problem-solving.,"Communities of practice are the primary driver of organic knowledge transfer. Without them, each department rediscovers the same patterns and makes the same mistakes.",All Staff / Department Leaders,GenAI
61,IG3,SKL-IG3-02,People & Skills,Capability Deployment Training Gate,Require training completion before users access any newly deployed AI capability.,"When a new AI feature or tool is released, update the relevant learning path first. Confirm training completion before granting access � treat this as a deployment gate, not an afterthought. The capability release checklist must include a training readiness sign-off.",Project,At each capability or feature deployment,IT lead + HR,Capability release checklist showing training update and completion gate for each deployment.,Implemented,Validated,New AI capabilities are enabled before users receive any guidance on safe and effective use.,"Ungated capability access creates an immediate wave of misuse, support burden, and user frustration that erodes trust in the entire AI program.",All Staff / IT Lead,GenAI
62,IG2,SKL-IG2-04,People & Skills,Department expansion criteria,Require evidence before moving beyond the pilot.,"Document the minimum adoption, support, training, KPI, and data-readiness conditions required before each expansion wave.",Project,Per expansion wave,Project lead + sponsor,Signed expansion gate checklist for each new department.,Implemented,Validated,Broader rollout occurs before readiness gates are checked.,Scaling too fast is one of the main failure modes.,Executive Team | Department Leaders | IT Lead,GenAI
63,IG2,GOV-IG2-01,Policy & Governance,AI change approval path,Prevent uncontrolled enablement of new AI capability in production.,"Require formal approval before turning on new AI features, browser extensions, connectors, or agents in the customer environment.",Project,Per change,IT change owner + security approver,Approved change record with rollback notes and approver.,Implemented,Validated,Production AI features are turned on without change review and rollback path.,New AI features often change the data boundary or behavior boundary.,Control Owner: CISO/Compliance | Platform Owner,GenAI
